entry_ts,exit_ts,outcome,gross_pnl_pct,net_pnl_pct,funding_cost_pct,leveraged_pnl_pct,leverage_used,bars,side
2020-07-23 00:00:00+00:00,2020-07-28 00:00:00+00:00,TRAIL,0.12147881073187375,0.12047881073187375,0.00617741021321137,0.19972511620511796,1.709035183593956,5,LONG
2020-08-01 00:00:00+00:00,2020-08-02 00:00:00+00:00,TRAIL,-0.09448764104799898,-0.09548764104799898,0.0009019728048082231,-0.08087825255017642,0.8375563462204113,1,LONG
2020-08-17 00:00:00+00:00,2020-09-03 00:00:00+00:00,TRAIL,-0.10345985621134247,-0.10445985621134248,0.010273234625632103,-0.0969758337322934,0.8300087923847529,17,LONG
2020-10-10 00:00:00+00:00,2020-11-07 00:00:00+00:00,TRAIL,0.3241255496819363,0.3231255496819363,0.0051090668848223055,0.3399508259981459,1.067881797718016,28,LONG
2020-11-12 00:00:00+00:00,2020-11-26 00:00:00+00:00,TRAIL,0.07850912546027325,0.07750912546027325,0.009990958959100547,0.042845738667815214,0.6816835735554369,14,LONG
2020-11-30 00:00:00+00:00,2021-01-04 00:00:00+00:00,TRAIL,0.6206664946643893,0.6196664946643893,0.017825906574371036,0.37755106813857175,0.6380480114986345,35,LONG
2021-01-06 00:00:00+00:00,2021-01-10 00:00:00+00:00,TRAIL,-0.019295837717619835,-0.020295837717619836,0.009154630094727657,-0.021191313088843523,0.5930616494664922,4,LONG
2021-02-08 00:00:00+00:00,2021-02-22 00:00:00+00:00,TRAIL,0.048098248925277906,0.047098248925277905,0.025314340000000005,-0.001765215537361052,0.5,14,LONG
2021-04-13 00:00:00+00:00,2021-04-18 00:00:00+00:00,TRAIL,-0.12255446220573314,-0.12355446220573314,0.01109219271542132,-0.1082249587435962,0.7861534443526375,5,LONG
2021-10-06 00:00:00+00:00,2021-10-27 00:00:00+00:00,TRAIL,0.0631794514402182,0.062179451440218206,0.007758849999999999,0.023330875720109105,0.5,21,LONG
2021-11-08 00:00:00+00:00,2021-11-16 00:00:00+00:00,TRAIL,-0.10884830449845725,-0.10984830449845726,0.00554767280067095,-0.08547077316787922,0.7275770047805402,8,LONG
2023-01-20 00:00:00+00:00,2023-02-09 00:00:00+00:00,TRAIL,-0.0145468105627651,-0.0155468105627651,0.0062459394236054,-0.02244240255211527,1.0417868708904643,20,LONG
2023-02-15 00:00:00+00:00,2023-02-24 00:00:00+00:00,TRAIL,-0.05528113584163039,-0.05628113584163039,0.0026661325944224625,-0.061652464671851676,1.0480657718673443,9,LONG
2023-03-14 00:00:00+00:00,2023-04-21 00:00:00+00:00,TRAIL,0.12659022772483705,0.12559022772483705,0.003936053204888624,0.07103101034099836,0.5969179680933193,38,LONG
2023-10-23 00:00:00+00:00,2023-11-14 00:00:00+00:00,TRAIL,0.0641719807800616,0.0631719807800616,0.00987537579290319,0.07426432087725655,1.3319148082929195,22,LONG
2023-12-01 00:00:00+00:00,2023-12-11 00:00:00+00:00,TRAIL,0.0642255992927831,0.0632255992927831,0.0031313052727179654,0.04857658480123357,0.8178315532369141,10,LONG
2024-01-02 00:00:00+00:00,2024-01-03 00:00:00+00:00,TRAIL,-0.1003503116925561,-0.1013503116925561,0.0015662368470438055,-0.1041403653936213,1.012075116825825,1,LONG
2024-01-08 00:00:00+00:00,2024-01-12 00:00:00+00:00,TRAIL,-0.07010694721313257,-0.07110694721313257,0.0011729606956695467,-0.07067767258738097,0.9774672463912888,4,LONG
2024-02-08 00:00:00+00:00,2024-03-05 00:00:00+00:00,TRAIL,0.4165986436590577,0.4155986436590577,0.01934197672682897,0.4456522469757123,1.1188540453563318,26,LONG
2024-03-11 00:00:00+00:00,2024-03-16 00:00:00+00:00,TRAIL,-0.09374363572514108,-0.09474363572514108,0.003765398139771735,-0.060336583140280294,0.5970974679990763,5,LONG
2024-05-20 00:00:00+00:00,2024-06-21 00:00:00+00:00,TRAIL,-0.11201699457225145,-0.11301699457225145,0.006315153826656211,-0.0816962690128476,0.6669892034511717,32,LONG
2024-09-26 00:00:00+00:00,2024-10-10 00:00:00+00:00,TRAIL,-0.08728657160863036,-0.08828657160863036,0.002181520892459757,-0.09355767400660535,1.0349949199433317,14,LONG
2024-10-15 00:00:00+00:00,2024-11-04 00:00:00+00:00,TRAIL,-0.0006225535965293394,-0.0016225535965293395,0.005492433172491217,-0.007009990984528917,0.9352897896770704,20,LONG
2024-11-06 00:00:00+00:00,2024-11-26 00:00:00+00:00,TRAIL,0.2215925526502375,0.2205925526502375,0.010334861027904164,0.24384594205898202,1.1522637552043964,20,LONG
2024-12-16 00:00:00+00:00,2024-12-19 00:00:00+00:00,TRAIL,-0.08898904524593697,-0.08998904524593697,0.0008389210040768479,-0.08841252399416841,0.9731584855773936,3,LONG
2025-01-17 00:00:00+00:00,2025-01-27 00:00:00+00:00,TRAIL,-0.05404704659152397,-0.05504704659152397,0.0024488746824063387,-0.05478179342832043,0.9506943966358443,10,LONG
2025-05-08 00:00:00+00:00,2025-06-05 00:00:00+00:00,TRAIL,-0.004989845742686959,-0.005989845742686959,0.005636891143252245,-0.012629662792918758,1.167437685386812,28,LONG
2025-07-09 00:00:00+00:00,2025-07-25 00:00:00+00:00,TRAIL,0.037882346575940806,0.036882346575940805,0.00639818481216676,0.046132416780636655,1.4242749301388085,16,LONG
2025-08-13 00:00:00+00:00,2025-08-18 00:00:00+00:00,TRAIL,-0.05948146330855147,-0.06048146330855147,0.0019264590836762848,-0.10627173404923596,1.7252438889124282,5,LONG
2025-10-01 00:00:00+00:00,2025-10-10 00:00:00+00:00,TRAIL,-0.0006273020035277861,-0.001627302003527786,0.003074421011197347,-0.005518598562339978,1.5019815288397373,9,LONG
